player,mins,goals,assists,ga,wcs,fw,squad,ga90
Peter Ducke,110,0,0.0,0.0,1,True,Germany DR,0.0
Peter Lorimer,270,1,0.0,1.0,1,True,sctScotland,0.33333333333333337
Peter Møller,123,1,0.0,1.0,1,True,dkDenmark,0.7317073170731708
Peter Odemwingie,357,1,0.0,1.0,2,True,ngNigeria,0.25210084033613445
Peter Vermes,270,0,0.0,0.0,1,True,usUnited States,0.0
Peter van Vossen,198,0,0.0,0.0,1,True,nlNetherlands,0.0
Petr Janečka,212,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Phil Foden,258,1,2.0,3.0,1,True,engEngland,1.0465116279069768
Phil Masinga,104,0,0.0,0.0,1,True,zaSouth Africa,0.0
Philipp Degen,390,0,0.0,0.0,1,True,chSwitzerland,0.0
Philippe Desmet,186,0,0.0,0.0,1,True,beBelgium,0.0
Philippe Gondet,270,0,0.0,0.0,1,True,frFrance,0.0
Phillip Cocu,968,2,1.0,3.0,2,True,nlNetherlands,0.27892561983471076
Pierluigi Casiraghi,202,0,0.0,0.0,1,True,itItaly,0.0
Pierre Littbarski,1151,3,0.0,3.0,3,True,deWest Germany,0.23457862728062556
Pierre Webó,219,0,0.0,0.0,2,True,cmCameroon,0.0
Pierre van Hooijdonk,92,1,0.0,1.0,1,True,nlNetherlands,0.9782608695652174
Piet Keizer,90,0,0.0,0.0,1,True,nlNetherlands,0.0
Pietro Anastasi,201,1,0.0,1.0,1,True,itItaly,0.44776119402985076
Pione Sisto,230,0,0.0,0.0,1,True,dkDenmark,0.0
Piotr Zieliński,586,1,0.0,1.0,2,True,plPoland,0.15358361774744028
Plamen Getov,295,1,0.0,1.0,1,True,bgBulgaria,0.30508474576271183
Porfirio Armando Betancourt,270,0,0.0,0.0,1,True,hnHonduras,0.0
Preben Elkjær,315,4,0.0,4.0,1,True,dkDenmark,1.1428571428571428
Predrag Mijatović,299,1,0.0,1.0,1,True,rsYugoslavia,0.3010033444816054
Prince Tagoe,208,0,0.0,0.0,1,True,ghGhana,0.0
Prudencio Norales,125,0,0.0,0.0,1,True,hnHonduras,0.0
Přemysl Bičovský,120,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Qu Bo,99,0,0.0,0.0,1,True,cnChina PR,0.0
Quini,168,0,0.0,0.0,2,True,esSpain,0.0
Rabah Madjer,479,1,0.0,1.0,2,True,dzAlgeria,0.1878914405010438
Rachid Harkouk,148,0,0.0,0.0,1,True,dzAlgeria,0.0
Radamel Falcao,375,1,0.0,1.0,1,True,coColombia,0.24
Rafik Djebbour,154,0,0.0,0.0,1,True,dzAlgeria,0.0
Raheem Sterling,782,1,2.0,3.0,3,True,engEngland,0.3452685421994885
Ralf Edström,639,4,0.0,4.0,2,True,seSweden,0.5633802816901409
Ramaz Shengelia,408,1,0.0,1.0,1,True,suSoviet Union,0.22058823529411764
Ramón Díaz,188,1,0.0,1.0,1,True,arArgentina,0.4787234042553191
Randal Kolo Muani,182,1,0.0,1.0,1,True,frFrance,0.4945054945054945
Randall Brenes,106,0,0.0,0.0,1,True,crCosta Rica,0.0
Raoul Lambert,180,2,0.0,2.0,1,True,beBelgium,1.0
Raphinha,315,0,1.0,1.0,1,True,brBrazil,0.2857142857142857
Rashidi Yekini,520,1,0.0,1.0,2,True,ngNigeria,0.17307692307692307
Raymond Mommens,120,0,0.0,0.0,1,True,beBelgium,0.0
Razak Pimpong,119,0,0.0,0.0,1,True,ghGhana,0.0
Raúl,714,5,1.0,6.0,3,True,esSpain,0.7563025210084033
Raúl Isiordia,90,0,0.0,0.0,1,True,mxMexico,0.0
Raúl Jiménez,122,0,0.0,0.0,3,True,mxMexico,0.0
Reinhard Libuda,358,1,0.0,1.0,1,True,deWest Germany,0.25139664804469275
René Houseman,703,4,0.0,4.0,2,True,arArgentina,0.5120910384068279
René van de Kerkhof,608,1,0.0,1.0,2,True,nlNetherlands,0.14802631578947367
Reza Ghoochannejad,270,1,0.0,1.0,1,True,irIR Iran,0.33333333333333337
Ricardo Horta,119,1,0.0,1.0,1,True,ptPortugal,0.7563025210084033
Richard Dürr,90,0,0.0,0.0,1,True,chSwitzerland,0.0
Richarlison,323,3,0.0,3.0,1,True,brBrazil,0.8359133126934984
Richmond Forson,209,0,0.0,0.0,1,True,tgTogo,0.0
Riley McGree,265,0,1.0,1.0,1,True,auAustralia,0.33962264150943394
Ritsu Doan,217,2,0.0,2.0,1,True,jpJapan,0.8294930875576036
Rivaldo,1262,8,2.0,10.0,2,True,brBrazil,0.7131537242472267
Rob Rensenbrink,1131,6,0.0,6.0,2,True,nlNetherlands,0.47745358090185674
Robbie Findley,166,0,0.0,0.0,1,True,usUnited States,0.0
Robbie Keane,390,3,0.0,3.0,1,True,ieRep. of Ireland,0.6923076923076923
Robbie Kruse,207,0,0.0,0.0,1,True,auAustralia,0.0
Robert Fleck,95,0,0.0,0.0,1,True,sctScotland,0.0
Robert Gadocha,624,0,0.0,0.0,1,True,plPoland,0.0
Robert Hosp,270,0,0.0,0.0,1,True,chSwitzerland,0.0
Robert Jarni,945,1,2.0,3.0,3,True,hrCroatia,0.2857142857142857
Robert Lewandowski,630,2,1.0,3.0,2,True,plPoland,0.4285714285714286
Robert Pirès,138,0,0.0,0.0,1,True,frFrance,0.0
Roberto Baggio,1202,9,2.0,11.0,3,True,itItaly,0.8236272878535774
Roberto Bettega,603,2,0.0,2.0,1,True,itItaly,0.2985074626865672
Roberto Boninsegna,608,2,0.0,2.0,2,True,itItaly,0.29605263157894735
Roberto Cabañas,360,2,0.0,2.0,1,True,pyParaguay,0.5
Roberto Dinamite,450,3,0.0,3.0,1,True,brBrazil,0.6000000000000001
Roberto López Ufarte,302,1,0.0,1.0,1,True,esSpain,0.2980132450331126
Robin van Persie,1474,6,0.0,6.0,3,True,nlNetherlands,0.36635006784260515
Robinho,496,2,0.0,2.0,2,True,brBrazil,0.3629032258064516
Rodrigo Bentancur,575,0,1.0,1.0,2,True,uyUruguay,0.1565217391304348
Rodrigo Palacio,191,0,0.0,0.0,2,True,arArgentina,0.0
Roger Hunt,570,3,0.0,3.0,1,True,engEngland,0.47368421052631576
Roger Milla,581,5,0.0,5.0,3,True,cmCameroon,0.7745266781411358
Roland Nilsson,930,0,0.0,0.0,2,True,seSweden,0.0
Roland Sandberg,540,2,0.0,2.0,1,True,seSweden,0.33333333333333337
Romelu Lukaku,703,5,1.0,6.0,3,True,beBelgium,0.7681365576102419
Romeo Corbo,132,0,0.0,0.0,1,True,uyUruguay,0.0
Romário,724,5,0.0,5.0,2,True,brBrazil,0.6215469613259669
Ronald de Boer,687,2,2.0,4.0,2,True,nlNetherlands,0.5240174672489083
Ronaldinho,761,2,0.0,2.0,2,True,brBrazil,0.23653088042049936
Ronaldo,1617,15,3.0,18.0,3,True,brBrazil,1.0018552875695732
Roque Santa Cruz,855,1,0.0,1.0,3,True,pyParaguay,0.10526315789473685
Rory Fallon,220,0,0.0,0.0,1,True,nzNew Zealand,0.0
Roy Wegerle,186,0,0.0,0.0,2,True,usUnited States,0.0
Ruben Vargas,285,0,1.0,1.0,1,True,chSwitzerland,0.3157894736842105
Rubén Ayala,540,1,0.0,1.0,1,True,arArgentina,0.16666666666666669
Rubén Cano,90,0,0.0,0.0,1,True,esSpain,0.0
Rubén Sosa,277,0,0.0,0.0,1,True,uyUruguay,0.0
Rudi Völler,1048,8,0.0,8.0,3,True,deGermany,0.6870229007633587
Rune Bratseth,270,0,0.0,0.0,1,True,noNorway,0.0
Ruslan Pimenov,135,0,0.0,0.0,1,True,ruRussia,0.0
Ruud Gullit,360,1,0.0,1.0,1,True,nlNetherlands,0.25
Ruud van Nistelrooy,195,1,0.0,1.0,1,True,nlNetherlands,0.46153846153846156
Róbert Vittek,352,4,0.0,4.0,1,True,skSlovakia,1.0227272727272727
Róger Gómez,239,0,0.0,0.0,1,True,crCosta Rica,0.0
Rónald Gómez,530,3,0.0,3.0,2,True,crCosta Rica,0.5094339622641509
Rüdiger Abramczik,270,1,0.0,1.0,1,True,deWest Germany,0.33333333333333337
Saad Al-Harthi,99,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Sadio Mané,270,1,0.0,1.0,1,True,snSenegal,0.33333333333333337
Saeed Al-Owairan,420,1,0.0,1.0,2,True,saSaudi Arabia,0.2142857142857143
Salah Assad,427,2,0.0,2.0,2,True,dzAlgeria,0.4215456674473068
Salah Larbès,93,0,0.0,0.0,1,True,dzAlgeria,0.0
Salaheddine Bassir,270,2,0.0,2.0,1,True,maMorocco,0.6666666666666667
Saleh Al-Shehri,223,1,0.0,1.0,1,True,saSaudi Arabia,0.40358744394618834
Salem Al-Dawsari,540,3,0.0,3.0,2,True,saSaudi Arabia,0.5
Salomon Kalou,363,1,0.0,1.0,2,True,ciCôte d'Ivoire,0.24793388429752067
Salvador Cabezas,261,0,0.0,0.0,1,True,svEl Salvador,0.0
Salvador Reyes Monteón,270,0,0.0,0.0,1,True,mxMexico,0.0
Salvatore Schillaci,536,6,0.0,6.0,1,True,itItaly,1.007462686567164
Sami Al-Jaber,602,2,0.0,2.0,4,True,saSaudi Arabia,0.29900332225913623
Sammy McIlroy,679,0,0.0,0.0,2,True,nirNorthern Ireland,0.0
Samson Siasia,213,1,0.0,1.0,1,True,ngNigeria,0.4225352112676056
Samuel Eto'o,655,3,0.0,3.0,4,True,cmCameroon,0.4122137404580153
Samuel Ipoua,109,0,0.0,0.0,1,True,cmCameroon,0.0
Sandro Mazzola,990,1,0.0,1.0,3,True,itItaly,0.09090909090909091
Santillana,360,0,0.0,0.0,2,True,esSpain,0.0
Sardar Azmoun,396,0,0.0,0.0,2,True,irIR Iran,0.0
Savo Milošević,285,0,0.0,0.0,2,True,rsS & M,0.0
Sebastián Abreu,300,0,0.0,0.0,2,True,uyUruguay,0.0
Sebastjan Cimirotič,164,1,0.0,1.0,1,True,siSlovenia,0.5487804878048781
Seo Jung-won,323,1,0.0,1.0,2,True,krKorea Republic,0.2786377708978328
Seol Ki-hyeon,667,1,0.0,1.0,2,True,krKorea Republic,0.13493253373313344
Sergej Milinković-Savić,503,1,0.0,1.0,2,True,rsSerbia,0.17892644135188865
Sergey Rodionov,198,1,0.0,1.0,2,True,suSoviet Union,0.4545454545454546
Serginho Chulapa,401,2,0.0,2.0,1,True,brBrazil,0.44887780548628425
Sergio Agüero,600,2,0.0,2.0,3,True,arArgentina,0.30000000000000004
Sergio Ahumada,270,1,0.0,1.0,1,True,clChile,0.33333333333333337
Sergio Daniel Martínez,90,0,0.0,0.0,1,True,uyUruguay,0.0
Serhiy Rebrov,178,1,0.0,1.0,1,True,uaUkraine,0.5056179775280899
Shane Smeltz,270,1,0.0,1.0,1,True,nzNew Zealand,0.33333333333333337
Shaun Bartlett,168,2,1.0,3.0,1,True,zaSouth Africa,1.607142857142857
Shaun Wright-Phillips,92,0,0.0,0.0,1,True,engEngland,0.0
Shinji Kagawa,433,1,1.0,2.0,2,True,jpJapan,0.4157043879907621
Shinji Okazaki,425,2,0.0,2.0,3,True,jpJapan,0.4235294117647058
Shoji Jo,237,0,0.0,0.0,1,True,jpJapan,0.0
Sibusiso Zuma,270,0,0.0,0.0,1,True,zaSouth Africa,0.0
Sidney Govou,225,0,0.0,0.0,2,True,frFrance,0.0
Sigfried Held,805,1,0.0,1.0,2,True,deWest Germany,0.11180124223602485
Silva Batuta,90,0,0.0,0.0,1,True,brBrazil,0.0
Simone Pepe,225,0,0.0,0.0,1,True,itItaly,0.0
Siyabonga Nomvethe,166,1,0.0,1.0,2,True,zaSouth Africa,0.5421686746987953
Slava Metreveli,180,0,0.0,0.0,1,True,suSoviet Union,0.0
Sofiane Boufal,475,0,0.0,0.0,1,True,maMorocco,0.0
Sofiane Feghouli,390,1,2.0,3.0,1,True,dzAlgeria,0.6923076923076923
Sol Campbell,875,1,0.0,1.0,3,True,engEngland,0.10285714285714287
Son Heung-min,875,3,1.0,4.0,3,True,krKorea Republic,0.4114285714285715
Stanislav Karasi,222,2,0.0,2.0,1,True,yuYugoslavia,0.8108108108108109
Stanislav Šesták,150,0,0.0,0.0,1,True,skSlovakia,0.0
Stefan Pettersson,196,0,0.0,0.0,1,True,seSweden,0.0
Stern John,270,0,0.0,0.0,1,True,ttTrin & Tobago,0.0
Steve Archibald,308,1,0.0,1.0,2,True,sctScotland,0.29220779220779225
Steve Bull,170,0,0.0,0.0,1,True,engEngland,0.0
Steve McMahon,253,0,0.0,0.0,1,True,engEngland,0.0
Steve Penney,119,0,0.0,0.0,1,True,nirNorthern Ireland,0.0
Steve Wooddin,270,1,0.0,1.0,1,True,nzNew Zealand,0.33333333333333337
Steven Bergwijn,213,0,0.0,0.0,1,True,nlNetherlands,0.0
Stoycho Mladenov,231,0,0.0,0.0,1,True,bgBulgaria,0.0
Stratos Apostolakis,180,0,0.0,0.0,1,True,grGreece,0.0
Stéphane Chapuisat,360,1,0.0,1.0,1,True,chSwitzerland,0.25
Stéphane Guivarc'h,272,0,0.0,0.0,1,True,frFrance,0.0
Sylvain Wiltord,459,0,0.0,0.0,2,True,frFrance,0.0
Sócrates,885,4,0.0,4.0,2,True,brBrazil,0.4067796610169492
Tajon Buchanan,260,0,1.0,1.0,1,True,caCanada,0.34615384615384615
Takayuki Suzuki,273,1,0.0,1.0,1,True,jpJapan,0.32967032967032966
Takefusa Kubo,90,0,0.0,0.0,1,True,jpJapan,0.0
Takuma Asano,165,1,0.0,1.0,1,True,jpJapan,0.5454545454545454
Tasos Mitropoulos,145,0,0.0,0.0,1,True,grGreece,0.0
Teddy Sheringham,247,0,0.0,0.0,2,True,engEngland,0.0
Tedj Bensaoula,166,1,0.0,1.0,2,True,dzAlgeria,0.5421686746987953
Terry Paine,90,0,0.0,0.0,1,True,engEngland,0.0
Teófilo Gutiérrez,301,1,1.0,2.0,1,True,coColombia,0.5980066445182725
Theofanis Gekas,352,0,0.0,0.0,2,True,grGreece,0.0
Thierry Henry,1169,6,0.0,6.0,4,True,frFrance,0.4619332763045338
Thomas Müller,1559,10,3.0,13.0,4,True,deGermany,0.750481077613855
Tibor Nyilasi,448,2,0.0,2.0,2,True,huHungary,0.40178571428571425
Tijani Babangida,123,1,0.0,1.0,1,True,ngNigeria,0.7317073170731708
Tim Cahill,614,5,0.0,5.0,4,True,auAustralia,0.7328990228013029
Timo Werner,265,0,0.0,0.0,1,True,deGermany,0.0
Timothy Weah,316,1,0.0,1.0,1,True,usUnited States,0.2848101265822785
Tom Turesson,123,1,0.0,1.0,1,True,seSweden,0.7317073170731708
Tomas Brolin,873,4,0.0,4.0,2,True,seSweden,0.4123711340206186
Tomi Juric,95,0,0.0,0.0,1,True,auAustralia,0.0
Tommy Coyne,227,0,0.0,0.0,1,True,ieRep. of Ireland,0.0
Tommy Oar,203,0,0.0,0.0,1,True,auAustralia,0.0
Tomáš Kříž,90,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Tomáš Skuhravý,450,5,0.0,5.0,1,True,csCzechoslovakia,1.0
Toni Polster,466,1,0.0,1.0,2,True,atAustria,0.19313304721030042
Tony Cascarino,357,0,0.0,0.0,2,True,ieRep. of Ireland,0.0
Torbjörn Nilsson,90,0,0.0,0.0,1,True,seSweden,0.0
Tore André Flo,360,1,0.0,1.0,1,True,noNorway,0.25
Tostão,607,3,0.0,3.0,2,True,brBrazil,0.4448105436573311
Trevor Francis,436,2,0.0,2.0,1,True,engEngland,0.41284403669724773
Trevor Steven,441,0,0.0,0.0,2,True,engEngland,0.0
Trézéguet,237,0,0.0,0.0,1,True,egEgypt,0.0
Témime Lahzami,267,0,0.0,0.0,1,True,tnTunisia,0.0
Ulf Kirsten,96,0,1.0,1.0,1,True,deGermany,0.9375
Uli Hoeneß,558,1,0.0,1.0,1,True,deWest Germany,0.16129032258064516
Uwe Reinders,119,1,0.0,1.0,1,True,deWest Germany,0.7563025210084033
Uwe Seeler,1170,5,0.0,5.0,2,True,deWest Germany,0.38461538461538464
Vadym Yevtushenko,151,0,0.0,0.0,1,True,suSoviet Union,0.0
Vahid Amiri,265,0,0.0,0.0,1,True,irIR Iran,0.0
Vahid Hashemian,218,0,0.0,0.0,1,True,irIR Iran,0.0
Valdomiro Vaz Franco,531,1,0.0,1.0,1,True,brBrazil,0.1694915254237288
Valeriy Porkujan,270,4,0.0,4.0,1,True,suSoviet Union,1.3333333333333335
Valter Birsa,259,1,0.0,1.0,1,True,siSlovenia,0.3474903474903475
Vasil Mitkov,135,0,0.0,0.0,1,True,bgBulgaria,0.0
Vedad Ibišević,146,1,0.0,1.0,1,True,baBosnia & Herz.,0.6164383561643836
Venancio Ramos,204,0,0.0,0.0,1,True,uyUruguay,0.0
Victor Ikpeba,246,1,0.0,1.0,1,True,ngNigeria,0.3658536585365854
Victor Moses,409,1,1.0,2.0,2,True,ngNigeria,0.4400977995110024
Vincent Aboubakar,330,2,1.0,3.0,3,True,cmCameroon,0.8181818181818181
Vincenzo Iaquinta,462,2,0.0,2.0,2,True,itItaly,0.38961038961038963
Vinicius Júnior,299,1,2.0,3.0,1,True,brBrazil,0.9030100334448161
Viorel Moldovan,281,2,0.0,2.0,1,True,roRomania,0.6405693950177935
Vitaliy Khmelnytskyi,325,1,0.0,1.0,1,True,suSoviet Union,0.27692307692307694
Vitinha,120,0,0.0,0.0,1,True,ptPortugal,0.0
Vittore Gottardi,180,0,0.0,0.0,1,True,chSwitzerland,0.0
Vladimir Beschastnykh,192,1,0.0,1.0,2,True,ruRussia,0.46875
Vladimir Ponomaryov,450,0,0.0,0.0,1,True,suSoviet Union,0.0
Vladimír Weiss,344,0,0.0,0.0,2,True,skSlovakia,0.0
Voyn Voynov,254,0,0.0,0.0,1,True,bgBulgaria,0.0
Vratislav Lokvenc,136,0,0.0,0.0,1,True,czCzechia,0.0
Víctor Aristizábal,125,0,0.0,0.0,1,True,coColombia,0.0
Víctor Ibarbo,187,0,0.0,0.0,1,True,coColombia,0.0
Víctor Rangel,270,1,0.0,1.0,1,True,mxMexico,0.33333333333333337
Wahbi Khazri,345,3,2.0,5.0,2,True,tnTunisia,1.3043478260869565
Walter Casagrande,187,0,0.0,0.0,1,True,brBrazil,0.0
Walter Mantegazza,241,0,0.0,0.0,1,True,uyUruguay,0.0
Walter Martínez,127,0,0.0,0.0,1,True,hnHonduras,0.0
Walter Schachner,661,3,0.0,3.0,2,True,atAustria,0.4084720121028744
Wayne Rooney,788,1,1.0,2.0,3,True,engEngland,0.22842639593908629
Werner Krämer,90,0,0.0,0.0,1,True,deWest Germany,0.0
Wesley Sonck,108,1,0.0,1.0,1,True,beBelgium,0.8333333333333333
Wilfried Bony,166,2,0.0,2.0,1,True,ciCôte d'Ivoire,1.0843373493975905
Wilfried Puis,270,0,0.0,0.0,1,True,beBelgium,0.0
Wilhelm Kreuz,540,0,0.0,0.0,1,True,atAustria,0.0
William Ramallo,233,0,0.0,0.0,1,True,boBolivia,0.0
Willian,512,0,1.0,1.0,2,True,brBrazil,0.17578125
Willie Johnston,90,0,0.0,0.0,1,True,sctScotland,0.0
Wilmar Cabrera,135,0,0.0,0.0,1,True,uyUruguay,0.0
Wim Kieft,164,1,0.0,1.0,1,True,nlNetherlands,0.5487804878048781
Wolfgang Overath,1762,3,0.0,3.0,3,True,deWest Germany,0.1532349602724177
Wolfram Löwe,198,0,0.0,0.0,1,True,Germany DR,0.0
Wynton Rufer,257,0,0.0,0.0,1,True,nzNew Zealand,0.0
Włodzimierz Ciołek,110,1,0.0,1.0,1,True,plPoland,0.8181818181818181
Włodzimierz Lubański,200,0,0.0,0.0,1,True,plPoland,0.0
Włodzimierz Smolarek,852,2,0.0,2.0,2,True,plPoland,0.2112676056338028
Xherdan Shaqiri,978,5,2.0,7.0,4,True,chSwitzerland,0.6441717791411044
Yacine Brahimi,189,1,1.0,2.0,1,True,dzAlgeria,0.9523809523809523
Yakubu Aiyegbeni,249,1,0.0,1.0,1,True,ngNigeria,0.36144578313253006
Yang Chen,137,0,0.0,0.0,1,True,cnChina PR,0.0
Yang Seung-kook,180,1,0.0,1.0,1,True,kpKorea DPR,0.5
Yannick Carrasco,354,0,0.0,0.0,2,True,beBelgium,0.0
Yannick Stopyra,481,2,0.0,2.0,1,True,frFrance,0.37422037422037424
Yao Junior Sènaya,166,0,0.0,0.0,1,True,tgTogo,0.0
Yasser Al-Qahtani,171,1,0.0,1.0,1,True,saSaudi Arabia,0.5263157894736842
Yegor Titov,270,1,0.0,1.0,1,True,ruRussia,0.33333333333333337
Yehoshua Feigenbaum,225,0,0.0,0.0,1,True,ilIsrael,0.0
Yeom Ki-hun,249,0,0.0,0.0,1,True,krKorea Republic,0.0
Yoel Bárcenas,220,0,0.0,0.0,1,True,paPanama,0.0
Yoshito Ōkubo,553,0,0.0,0.0,2,True,jpJapan,0.0
Younès Belhanda,226,0,0.0,0.0,1,True,maMorocco,0.0
Youri Djorkaeff,662,1,3.0,4.0,2,True,frFrance,0.5438066465256798
Youri Tielemans,271,0,2.0,2.0,2,True,beBelgium,0.6642066420664207
Youssef En-Nesyri,561,3,0.0,3.0,2,True,maMorocco,0.48128342245989303
Youssef Msakni,169,0,0.0,0.0,1,True,tnTunisia,0.0
Yussuf Poulsen,268,1,0.0,1.0,1,True,dkDenmark,0.33582089552238803
Yuya Osako,430,1,0.0,1.0,2,True,jpJapan,0.20930232558139533
Zbigniew Boniek,1282,6,0.0,6.0,3,True,plPoland,0.421216848673947
Zdeněk Nehoda,270,0,0.0,0.0,1,True,csCzechoslovakia,0.0
Zhivko Gospodinov,253,0,0.0,0.0,1,True,bgBulgaria,0.0
Ziad Jaziri,480,1,0.0,1.0,2,True,tnTunisia,0.1875
Zlatan Ibrahimović,254,0,0.0,0.0,2,True,seSweden,0.0
Zlatan Ljubijankić,172,1,0.0,1.0,1,True,siSlovenia,0.5232558139534884
Zlatko Vujović,678,0,0.0,0.0,2,True,yuYugoslavia,0.0
Álvaro Recoba,259,1,0.0,1.0,1,True,uyUruguay,0.3474903474903475
Ángel Di María,1303,3,1.0,4.0,4,True,arArgentina,0.2762854950115119
Éder,206,0,0.0,0.0,1,True,ptPortugal,0.0
Éder Aleixo de Assis,450,2,0.0,2.0,1,True,brBrazil,0.4
Émile Mbouh,570,0,0.0,0.0,2,True,cmCameroon,0.0
Óscar Cardozo,206,0,0.0,0.0,1,True,pyParaguay,0.0
Örjan Persson,285,0,0.0,0.0,2,True,seSweden,0.0
İlhan Mansız,236,3,0.0,3.0,1,True,trTürkiye,1.1440677966101696
